Month;Uploads total;Users total
2016-06;1;1
2016-07;126;18
2016-08;20;4
2016-09;299;30
2016-10;644;50
2016-11;1075;74
2016-12;731;64
2017-01;445;38
2017-02;343;39
2017-03;859;79
2017-04;956;65
2017-05;1557;71
2017-06;903;52
2017-07;959;42
2017-08;249;32
2017-09;347;55
2017-10;79;21
2017-11;140;21
2017-12;472;40
2018-01;1005;86
2018-02;527;23
2018-03;209;26
2018-04;643;35
2018-05;264;32
2018-06;261;24
2018-07;97;24
2018-08;353;38
2018-09;284;95
2018-10;225;30
2018-11;558;51
2018-12;128;22
2019-01;100;32
2019-02;43;14
2019-03;298;52
2019-04;482;41
